,id,price
0,2539,149
1,2595,225
2,3647,150
3,3831,89
4,5022,80
5,5099,200
6,5121,60
7,5178,79
8,5203,79
9,5238,150
10,5295,135
11,5441,85
12,5803,89
13,6021,85
14,6090,120
15,6848,140
16,7097,215
17,7322,140
18,7726,99
19,7750,190
20,7801,299
21,8024,130
22,8025,80
23,8110,110
24,8490,120
25,8505,60
26,8700,80
27,9357,150
28,9518,44
29,9657,180
30,9668,50
31,9704,52
32,9782,55
33,9783,50
34,10452,70
35,10962,89
36,11452,35
37,11708,85
38,11943,150
39,12048,40
40,12192,68
41,12299,120
42,12303,120
43,12318,135
44,12343,150
45,12627,150
46,12937,130
47,12940,110
48,13050,115
49,13394,80
50,13808,80
51,14287,151
52,14290,228
53,14314,144
54,14322,200
55,14377,150
56,14991,110
57,15220,69
58,15338,49
59,15341,180
60,15385,80
61,15396,375
62,15711,250
63,16326,200
64,16338,55
65,16421,52
66,16458,225
67,16580,80
68,16595,275
69,16821,99
70,16974,225
71,17037,230
72,17092,51
73,17693,65
74,17747,105
75,18127,190
76,18152,200
77,18198,70
78,18590,95
79,18728,150
80,18764,145
81,19159,110
82,19169,285
83,19282,130
84,19319,94
85,19601,800
86,19812,105
87,20299,60
88,20300,50
89,20611,85
90,20724,65
91,20734,131
92,20755,98
93,20853,250
94,20913,100
95,21293,105
96,21456,140
97,21644,89
98,21794,98
99,22911,125
100,22918,60
101,23135,175
102,23501,65
103,23686,500
104,24143,101
105,24285,220
106,25235,125
107,25406,80
108,25696,100
109,26012,200
110,26362,59
111,26520,125
112,26559,140
113,26785,120
114,26933,350
115,26954,199
116,26969,325
117,27006,235
118,27385,225
119,27531,99
120,27644,170
121,27659,400
122,27759,170
123,27883,100
124,28321,75
125,28396,90
126,28907,150
127,29012,85
128,29013,70
129,29455,120
130,29628,89
131,29683,185
132,30031,50
133,30927,105
134,31130,130
135,31555,115
136,31902,77
137,31994,76
138,32023,125
139,32037,135
140,32100,250
141,32289,199
142,32331,140
143,32363,140
144,32965,115
145,32969,160
146,33009,195
147,33014,195
148,33223,80
149,34760,44
150,35526,156
151,36121,85
152,36133,125
153,36442,115
154,36647,69
155,36703,225
156,36934,125
157,38638,219
158,38663,475
159,39267,99
160,39282,69
161,39593,79
162,39704,135
163,40039,250
164,40453,250
165,41348,250
166,41513,80
167,42580,70
168,42729,165
169,42882,70
170,43957,50
171,44096,40
172,44161,150
173,44212,125
174,44221,196
175,44229,110
176,44288,170
177,44506,165
178,45393,150
179,45542,100
180,45556,65
181,45910,350
182,45936,99
183,45940,200
184,46544,150
185,46723,90
186,46911,120
187,47199,75
188,47362,175
189,47370,125
190,47926,275
191,48719,299
192,50447,135
193,51438,130
194,51485,83
195,51572,123
196,51850,55
197,53137,195
198,53196,80
199,53469,98
200,53470,140
201,53477,265
202,54158,249
203,54453,105
204,54466,200
205,54508,100
206,54544,121
207,54626,45
208,54860,100
209,55467,140
210,55498,71
211,55668,130
212,55737,199
213,55959,69
214,55982,68
215,56467,130
216,56525,195
217,56859,64
218,57166,140
219,57297,159
220,57468,189
221,57618,250
222,57740,239
223,57754,305
224,57874,155
225,58059,60
226,58062,135
227,58467,120
228,59014,150
229,59121,140
230,59642,135
231,59709,250
232,59855,250
233,60164,500
234,60457,225
235,60611,125
236,60666,92
237,60673,175
238,60680,99
239,60794,195
240,60948,140
241,61167,135
242,61224,500
243,61406,80
244,61492,120
245,61509,110
246,62095,65
247,62427,130
248,62430,99
249,62452,36
250,62461,37
251,62787,37
252,62891,175
253,62903,205
254,62925,285
255,63299,59
256,63320,36
257,63360,99
258,63546,39
259,63573,60
260,63588,90
261,63610,105
262,63657,135
263,63693,390
264,63719,70
265,63913,75
266,64000,60
267,64015,200
268,64107,100
269,64277,70
270,64314,110
271,64365,60
272,64707,90
273,64837,68
274,65019,115
275,65268,75
276,65556,60
277,65562,129
278,65615,130
279,65660,95
280,65813,75
281,65834,175
282,66008,190
283,66026,49
284,66251,212
285,66275,95
286,66451,140
287,66718,135
288,66741,150
289,66974,190
290,67288,124
291,67299,135
292,67397,122
293,68099,109
294,68305,85
295,68403,145
296,68735,195
297,68765,250
298,68900,125
299,68974,575
300,69894,150
301,69921,70
302,70095,90
303,70128,65
304,70609,500
305,71010,250
306,71248,125
307,71366,200
308,71384,229
309,71812,90
310,72190,110
311,72265,59
312,74073,195
313,74240,169
314,74333,113
315,74404,250
316,74680,115
317,74860,55
318,75193,69
319,75635,150
320,76761,169
321,77765,179
322,77936,150
323,78919,135
324,79067,350
325,79782,120
326,80493,71
327,80684,349
328,80700,349
329,80924,165
330,81739,249
331,82549,100
332,82550,200
333,82638,169
334,82928,185
335,83243,65
336,83446,130
337,83722,199
338,83847,225
339,84010,179
340,84059,150
341,84659,139
342,84905,95
343,85094,79
344,86215,150
345,89427,650
346,89621,90
347,93313,120
348,94035,80
349,94209,100
350,94477,175
351,94783,120
352,95747,140
353,95883,200
354,96471,165
355,98330,125
356,98663,130
357,99070,65
358,99085,123
359,100002,67
360,100184,50
361,100186,130
362,101053,100
363,102995,212
364,103161,190
365,103311,599
366,103806,249
367,105469,70
368,105510,100
369,106363,60
370,106647,135
371,107630,175
372,107895,120
373,110739,169
374,112100,165
375,112304,90
376,112359,225
377,112435,95
378,113265,55
379,113945,85
380,114123,199
381,114229,211
382,114969,145
383,115535,65
384,115678,99
385,115748,110
386,116940,80
387,117425,150
388,118061,110
389,118430,290
390,118680,87
391,120362,190
